RADIX company_id,FILE TYPE,Blacknight Location,Blacknight Filename,File Suffix,Transfer Company Doc,Target Site Destination Folder,Target Site File Name,name,description
59,Method Statement,/var/www/html/public/uploads/companies/59,4075,.pdf,TRANSFER,,MS_4_Viatel_v1.0 - Climbdown.pdf,MS_4_Viatel_v1.0 - Climbdown.pdf,Climbdown
59,Method Statement,/var/www/html/public/uploads/companies/59,4074,.pdf,TRANSFER,,MS_3_Viatel_v1.0 - Antenna Replace.pdf,MS_3_Viatel_v1.0 - Antenna Replace.pdf,Antenna Replace
43,Method Statement,/var/www/html/public/uploads/companies/43,5052,.pdf,TRANSFER,,MS_KTL_8_v1.0 - Civil_Maintenance_works.pdf,MS_KTL_8_v1.0 - Civil_Maintenance_works.pdf,Civil Maintenance
43,Method Statement,/var/www/html/public/uploads/companies/43,5051,.pdf,TRANSFER,,MS_KTL_6_v1.0 - Decommission_Dish or Antenna.pdf,MS_KTL_6_v1.0 - Decommission_Dish or Antenna.pdf,Decom Antenna
43,Method Statement,/var/www/html/public/uploads/companies/43,5050,.pdf,TRANSFER,,MS_KTL_4_v1.0 - Antenna_Dish_ODU_RAU_Fault.pdf,MS_KTL_4_v1.0 - Antenna_Dish_ODU_RAU_Fault.pdf,Antenna Fault
59,Method Statement,/var/www/html/public/uploads/companies/59,4073,.pdf,TRANSFER,,MS_2_Viatel_v1.0 - Link Decom.pdf,MS_2_Viatel_v1.0 - Link Decom.pdf,Link Decom
59,Method Statement,/var/www/html/public/uploads/companies/59,4072,.pdf,TRANSFER,,MS_1_Digi_v1.0 - Link Install.pdf,MS_1_Digi_v1.0 - Link Install.pdf,Link Install
43,H&S Plan,/var/www/html/public/uploads/companies/43,5046,.pdf,TRANSFER,,H&S_KTL_v1.0 - KTL H&S Plan_SHEQ-1093.pdf,H&S_KTL_v1.0 - KTL H&S Plan_SHEQ-1093.pdf,H&S Plan
43,Method Statement,/var/www/html/public/uploads/companies/43,5049,.pdf,TRANSFER,,MS_KTL_5_v1.0 - Replace_Relocate_Antennae or Equipment.pdf,MS_KTL_5_v1.0 - Replace_Relocate_Antennae or Equipment.pdf,Replace Antenna
43,Method Statement,/var/www/html/public/uploads/companies/43,5048,.pdf,TRANSFER,,MS_KTL_3_v1.0 - Link_Dish_Antenna Install.pdf,MS_KTL_3_v1.0 - Link_Dish_Antenna Install.pdf,Install Antenna/Dish
43,Method Statement,/var/www/html/public/uploads/companies/43,5047,.pdf,TRANSFER,,MS_KTL_1_v1.0 - Climbdown_LOS_Panning.pdf,MS_KTL_1_v1.0 - Climbdown_LOS_Panning.pdf,Climbdown
43,Method Statement,/var/www/html/public/uploads/companies/43,5045,.pdf,TRANSFER,,MS_KTL_2_v1.0 - Install_Antenna_Steelwork.pdf,MS_KTL_2_v1.0 - Install_Antenna_Steelwork.pdf,Install Steelwork
67,Method Statement,/var/www/html/public/uploads/companies/67,5148,.pdf,TRANSFER,,MS_TC_5_v1 0 - Guy-wire upgrade.pdf,MS_TC_5_v1 0 - Guy-wire upgrade.pdf,Guy-wire Upgrade
56,Method Statement,/var/www/html/public/uploads/companies/56,5869,.pdf,TRANSFER,,MS_RE_1_v1_MS_RA_Generator_Full Service.pdf,MS_RE_1_v1_MS_RA_Generator_Full Service.pdf,Generator Servicing MS
59,Method Statement,/var/www/html/public/uploads/companies/59,6027,.pdf,TRANSFER,,MS_7_Viatel_v1.0 - Site Maintenance.pdf,MS_7_Viatel_v1.0 - Site Maintenance.pdf,Site Maintenance
116,Method Statement,/var/www/html/public/uploads/companies/116,6259,.pdf,TRANSFER,,MS-015_Sec_v1.0 - Supplying Generator to Site.pdf,MS-015_Sec_v1.0 - Supplying Generator to Site.pdf,Supplying Generator
148,Method Statement,/var/www/html/public/uploads/companies/148,6338,.pdf,TRANSFER,,MS_Realpower_1_v1.0 - eir-Towercom Generator Service.pdf,MS_Realpower_1_v1.0 - eir-Towercom Generator Service.pdf,Generator Maintenance
56,Method Statement,/var/www/html/public/uploads/companies/56,6415,.pdf,TRANSFER,,MS_RE_1_v2_MS_RA_Generator_Full Service.PDF,MS_RE_1_v2_MS_RA_Generator_Full Service.PDF,MS_RE_1_v2_MS_RA_Generator_Full Service
