Site ID,Site Name,Blackknight Location,Filename,Target Site Destination Folder,Target Site File Name
TCE1037,Moveen Hill,/var/www/html/public/uploads/sites/Moveen Hill - TCE1037/Licence Maps/,Moveen Hill - TCE1037 - TCF01 - Rev 1.0.pdf,,Moveen Hill - TCE1037 - TCF01 - Rev 1.0.pdf
TDL1038,Mulmosog,/var/www/html/public/uploads/sites/Mulmosog - TDL1038/Licence Maps/,Mulmosog - TDL1038 - TCF01 - Rev 1.0.pdf,,Mulmosog - TDL1038 - TCF01 - Rev 1.0.pdf
TSO2034,Rathedmond,/var/www/html/public/uploads/sites/Rathedmond - TSO2034/Licence Maps/,Rathedmond - TSO2034 - TCF01 - Rev 1.0.pdf,,Rathedmond - TSO2034 - TCF01 - Rev 1.0.pdf
TWH2035,Roslevin,/var/www/html/public/uploads/sites/Roslevin - TWH2035/Licence Maps/,Roslevin - TWH2035 - TCF01 - Rev 1.0.pdf,,Roslevin - TWH2035 - TCF01 - Rev 1.0.pdf
TMO1039,Shanettra,/var/www/html/public/uploads/sites/Shanettra - TMO1039/Licence Maps/,Shanettra - TMO1039 - TCF01 - Rev 1.0.pdf,,Shanettra - TMO1039 - TCF01 - Rev 1.0.pdf
TWX1040,Shelmalier,/var/www/html/public/uploads/sites/Shelmalier 20m - TWX1047/Licence Maps/,Shelmalier - TWX1047 & TWX1040 - TCF01 - Rev 1.0,,Shelmalier - TWX1047 & TWX1040 - TCF01 - Rev 1.0
TWX1040,Shelmalier,/var/www/html/public/uploads/sites/Shelmalier 43m - TWX1040/Licence Maps/,Shelmalier - TWX1047 & TWX1040 - TCF01 - Rev 1.0,,Shelmalier - TWX1047 & TWX1040 - TCF01 - Rev 1.0
TOY2036,Walsh Island,/var/www/html/public/uploads/sites/Walsh Island - TOY2036/Licence Maps/,Walsh Island - TOY2036 - TCF01 - Rev 1.0.pdf,,Walsh Island - TOY2036 - TCF01 - Rev 1.0.pdf
TWX2037,Wexford,/var/www/html/public/uploads/sites/Wexford - TWX2037/Licence Maps/,Wexford - TWX2037 - TCF01 - Rev 1.0.pdf,,Wexford - TWX2037 - TCF01 - Rev 1.0.pdf
TCK1042,Whitechurch,/var/www/html/public/uploads/sites/Whitechurch - TCK1042/Licence Maps/,Whitechurch - TCK1042 - TCF01 - Rev 1.0.pdf,,Whitechurch - TCK1042 - TCF01 - Rev 1.0.pdf
