Site ID,Site Name,Blackknight Location,Blacknight Filename,Target Site Destination Folder,Target Site File Name
TWH6065,Ballymore,/var/www/html/public/uploads/sites/Ballymore - TWH6065/Access/,TC016_TWH6065 Site Access Info Ballymore.pdf,,TC016_TWH6065 Site Access Info Ballymore.pdf
TKE5029,Ballymore Eustace,/var/www/html/public/uploads/sites/TKE5029/Access/,TC016_TKE5029 Site Access Info Ballymore Eustace.pdf,,TC016_TKE5029 Site Access Info Ballymore Eustace.pdf
TSO5027,Ballymote,/var/www/html/public/uploads/sites/TSO5027/Access/,TC016_TSO5027 Site Access Info Ballymote.pdf,,TC016_TSO5027 Site Access Info Ballymote.pdf
TKK7305,Ballyragget,/var/www/html/public/uploads/sites/TKK7305/Access/,TC016_TKK7305 Site Access Info Ballyragget.pdf,,TC016_TKK7305 Site Access Info Ballyragget.pdf
TKK1004,Ballyspellan,/var/www/html/public/uploads/sites/Ballyspellan - TKK1004/Access/,TC016_TKK1004 Site Access Info Ballyspellan.pdf,,TC016_TKK1004 Site Access Info Ballyspellan.pdf
TCK6407,Baltimore,/var/www/html/public/uploads/sites/Baltimore - TCK6007/Access/,TC016_TCK6007 Site Access Info Baltimore.pdf,,TC016_TCK6007 Site Access Info Baltimore.pdf
TWW5033,Baltinglass,/var/www/html/public/uploads/sites/TWW5033/Access/,TC016_TWW5033 Site Access Info Baltinglass.pdf,,TC016_TWW5033 Site Access Info Baltinglass.pdf
TCK5034,Bantry,/var/www/html/public/uploads/sites/TCK5034/Access/,TC016_TCK5034 Site Access Info Bantry.pdf,,TC016_TCK5034 Site Access Info Bantry.pdf
TDL1005,Barnesmore,/var/www/html/public/uploads/sites/Barnesmore - TDL1005/Access/,TC016_TDL1005 Site Access Info Barnesmore.pdf,,TC016_TDL1005 Site Access Info Barnesmore.pdf
TCE2003,Behagh,/var/www/html/public/uploads/sites/Behagh - TCE2003/Access/,TC016_TCE2003 Site Access Info Behagh.pdf,,TC016_TCE2003 Site Access Info Behagh.pdf
TMO2004,Belmullet,/var/www/html/public/uploads/sites/Belmullet - TMO2004/Access/,TC016_TMO2004 Site Access Info Belmullet.pdf,,TC016_TMO2004 Site Access Info Belmullet.pdf
TCN5036,Belturbet,/var/www/html/public/uploads/sites/TCN5036/Access/,TC016_TCN5036 Site Access Info Belturbet.pdf,,TC016_TCN5036 Site Access Info Belturbet.pdf
TCE1006,Ben Dash,/var/www/html/public/uploads/sites/Ben Dash - TCE1006/Access/,TC016_TCE1006 Site Access Info Ben Dash.pdf,,TC016_TCE1006 Site Access Info Ben Dash.pdf
TMH5037,Bettystown,/var/www/html/public/uploads/sites/TMH5037/Access/,TC016_TMH5037 Site Access Info Bettystown.pdf,,TC016_TMH5037 Site Access Info Bettystown.pdf
TMO6349,Blacksod,/var/www/html/public/uploads/sites/Blacksod - TMO6049/Access/,TC016_TMO6049 Site Access Info Blacksod.pdf,,TC016_TMO6049 Site Access Info Blacksod.pdf
TWX4003,Blackwater RSU,/var/www/html/public/uploads/sites/Blackwater RSU - TWX4003/Access/,TC016_TWX4003 Site Access Info Blackwater RSU.pdf,,TC016_TWX4003 Site Access Info Blackwater RSU.pdf
TDU7308,Blanchardstown,/var/www/html/public/uploads/sites/TDU7308/Access/,TC016_TDU7308 Site Access Info Blanchardstown.pdf,,TC016_TDU7308 Site Access Info Blanchardstown.pdf
TCK7309,Blarney,/var/www/html/public/uploads/sites/TCK7309/Access/,TC016_TCK7309 Site Access Info Blarney.pdf,,TC016_TCK7309 Site Access Info Blarney.pdf
TTP6063,Borrisokane,/var/www/html/public/uploads/sites/Borrisokane - TTP6063/Access/,TC016_TTP6063 Site Access Info Borrisokane.pdf,,TC016_TTP6063 Site Access Info Borrisokane.pdf
TRN7007,Boyle,/var/www/html/public/uploads/sites/TRN7007/Access/,TC016_TRN7007 Site Access Info Boyle.pdf,,TC016_TRN7007 Site Access Info Boyle.pdf
TOY2005,Bracknagh,/var/www/html/public/uploads/sites/Bracknagh - TKE2005/Access/,TC016_TKE2005 Site Access Info Bracknagh.pdf,,TC016_TKE2005 Site Access Info Bracknagh.pdf
TSO1007,Bralee,/var/www/html/public/uploads/sites/Bralee - TSO1007/Access/,TC016_TSO1007 Site Access Info Bralee.pdf,,TC016_TSO1007 Site Access Info Bralee.pdf
TKY6030,Brosna,/var/www/html/public/uploads/sites/Brosna - TKY6030/Access/,TC016_TKY6030 Site Access Info Brosna.pdf,,TC016_TKY6030 Site Access Info Brosna.pdf
TDL2006,Bunbeg,/var/www/html/public/uploads/sites/Bunbeg - TDL2006/Access/,TC016_TDL2006 Site Access Info Bunbeg.pdf,,TC016_TDL2006 Site Access Info Bunbeg.pdf
